Player,Nation,Squad,Pos,Age,MP,Starts,Min,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,onxG,onxGA,G-PK,PK,Ast,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Tkl,TklW,TklW,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl + Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,ProDist,ProgC,1/3,CPA,Mis,Dis,Rec,PrgR,Fls,Fld,Off,Crs,OG,Recov,Won,Lost,Won%
Max Aarons,eng ENG,Bournemouth,DF,23,20,13,1237,85,9,7,19,5,0.80,12,34,14.2,27.1,0,0,1,1,0,0.0,0.0,0.8,22,43,26,0.00,0.07,0.07,0.00,0.07,0.00,0.06,0.06,0.00,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,2,0,0.0,0.15,0.00,0.00,N/a,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,+0.2,7,25,13,2,43,453,127,11,2,3,13,116,0,0,0,0,450,1,23,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,12,26,2,13,0,75,5,11,31.3
Tyler Adams,us USA,Bournemouth,MF,24,3,1,121,90,1,2,16,2,2.00,4,3,2.1,1.5,0,0,0,0,0,0.0,0.0,0.1,4,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0,0.1,0.0,-0.1,1,9,0,0,5,67,4,3,0,1,1,1,0,0,0,0,59,0,0,3,2.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0,91,3,23,54,14,4,91,3,2,66.7,0,0.0,44,193,116,4,1,2,3,0,52,1,0,3,0,1,0,7,2,3,40.0
Tosin Adarabioyo,eng ENG,Fulham,DF,25,20,18,1617,90,17,2,2,2,1.40,28,25,27.6,28.0,2,0,0,2,0,0.7,0.7,0.1,10,62,5,0.11,0.00,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,14,5,35.7,0.78,0.28,0.14,0.40,14.2,0,0,0,0.7,0.7,0.05,+1.3,+1.3,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0,0.1,0.3,-0.1,2,47,2,0,62,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8,10,0.56,6,0,0,4,0,0,0,0.00,0,0,0,0,0,0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0,1390,181,713,631,48,29,1390,3,1,33.3,0,0.0,817,4560,2661,10,12,1,4,4,1009,5,10,5,0,1,0,43,56,28,66.7
Elijah Adebayo,eng ENG,Luton Town,FW,25,27,16,1419,77,5,11,16,0,0.78,30,36,22.2,28.4,10,0,0,1,0,5.9,5.9,0.7,16,23,110,0.63,0.00,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,+4.1,+4.1,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,202,1,0,1,0,5,1,0,0,0,0,144,1,5,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0,462,27,52,172,243,82,462,67,18,26.9,46,68.7,265,1516,425,16,15,13,62,34,337,110,27,16,13,5,0,34,43,43,50.0
Simon Adingra,ci CIV,Brighton,FW,21,31,25,2222,83,10,6,26,1,1.19,34,38,33.9,35.9,6,0,1,3,0,4.3,4.3,3.7,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,+1.7,+1.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,815,23,3,7,2,76,15,5,0,1,0,634,2,29,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0,1159,36,187,364,627,153,1159,123,50,40.7,64,52.0,773,5063,2996,111,48,63,48,28,795,278,29,19,17,76,0,118,8,12,40.0
Nayef Aguerd,ma MAR,West Ham,DF,27,21,21,1857,88,19,0,N/a,4,1.19,26,44,25.0,38.2,1,0,0,3,1,1.5,1.5,0.3,10,68,3,0.05,0.00,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,1100,75,55,1,29,5,6,0,0,0,0,943,2,5,14,0.68,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2,1373,187,709,618,50,21,1373,5,3,60.0,2,40.0,861,4211,2388,10,8,0,10,2,912,3,10,6,0,5,0,102,48,32,60.0
Naouirou Ahamada,fr FRA,Crystal Palace,"MF,FW",21,20,0,349,N/a,0,20,17,14,0.85,13,14,10.0,8.6,0,0,0,4,1,0.5,0.5,0.0,19,25,20,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.13,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,9,2,22.2,2.32,0.52,0.00,0.00,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0.0,0.1,0.0,1,12,0,0,25,183,4,1,0,0,6,2,0,0,0,0,150,0,8,9,2.30,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4,0,240,6,46,123,75,8,240,13,7,53.8,5,38.5,150,1018,486,19,8,4,8,11,169,20,9,6,1,6,0,30,3,3,50.0
Anel Ahmedhodžić,ba BIH,Sheffield Utd,DF,24,31,29,2649,89,27,2,34,0,0.35,28,89,31.9,61.5,2,0,0,11,1,3.1,3.1,0.8,15,43,21,0.07,0.00,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,19,5,26.3,0.65,0.17,0.11,0.40,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,745,988,75.4,12681,5037,334,384,87.0,345,422,81.8,53,137,38.7,0,0.8,0.6,-0.8,7,41,3,1,43,950,36,11,1,2,6,25,0,0,0,0,745,2,20,26,0.88,23,0,0,3,0,0,1,0.03,0,0,0,1,0,0,64,36,48,14,2,30,49,61.2,19,43,26,17,35,99,137,2,1331,228,730,508,104,33,1331,21,11,52.4,9,42.9,603,3497,1946,15,15,3,14,11,693,21,34,13,2,6,0,107,51,37,58.0
Ola Aina,ng NGA,Nott'ham Forest,DF,26,22,20,1692,84,9,2,5,3,1.00,27,39,23.3,28.6,1,0,1,3,0,0.3,0.3,0.9,53,68,38,0.05,0.05,0.11,0.05,0.11,0.01,0.05,0.06,0.01,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,11,1,9.1,0.59,0.05,0.09,1.00,26.6,0,0,0,0.3,0.3,0.02,+0.7,+0.7,603,802,75.2,9610,4012,328,374,87.7,217,284,76.4,45,99,45.5,1,0.9,1.0,+0.1,11,58,13,6,68,649,150,12,2,2,28,138,0,0,0,0,603,3,17,38,2.02,25,5,3,1,3,1,1,0.05,1,0,0,0,0,0,47,31,31,12,4,29,41,70.7,12,19,3,16,18,65,51,1,1019,62,340,462,228,13,1019,45,27,60.0,14,31.1,494,3139,1830,53,29,11,24,10,539,38,18,25,2,28,0,97,16,12,57.1
Kristoffer Ajer,no NOR,Brentford,DF,25,28,21,1832,84,13,7,11,1,1.14,28,33,32.5,29.6,2,0,1,5,0,1.3,1.3,2.3,22,61,31,0.10,0.05,0.15,0.10,0.15,0.06,0.11,0.18,0.06,0.18,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,12,4,33.3,0.59,0.20,0.17,0.50,9.9,0,0,0,1.3,1.3,0.11,+0.7,+0.7,610,810,75.3,10210,3786,291,337,86.4,263,332,79.2,45,103,43.7,1,2.3,2.7,-1.3,12,56,10,3,61,730,79,9,1,9,22,65,0,0,0,0,610,1,11,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1,1042,112,430,457,158,58,1042,12,10,83.3,2,16.7,464,2367,1435,22,11,5,16,6,563,31,25,10,1,22,0,60,63,23,73.3
