Player Name,Transfer price
Demi Akarakiri,Free
Kain Ryan,Free
Nicksoen Gomis,Free
Richie Laryea,€0.7M
Bruno Jordão,Free
Charlie Wiggett,Free
Serge Aurier,€0.1M
Alfie Harrison,€1M
Bertrand Traoré,Free
Matz Sels,€8M
John Fleck,Free
Thierry Small,Free
Adam Wharton,€21.1M
Joe Gauci,€1.5M
Theo Corbeanu,€1.5M
Morgan Rogers,€9.4M
Pablo Fornals,€8M
Isak Hansen-Aarøen,€0.3M
Rúnar Alex Rúnarsson,Free
Miguel Azeez,Free
Hugo Lloris,Free
Zack Steffen,Free
Daniel Muñoz,€8M
Daiki Hashioka,€2M
Jonny Otto,Free
Hákon Rafn Valdimarsson,€3M
Ivo Grbic,€2.5M
Sam Curtis,Free
Claudio Echeverri,€18.5M
Jez Davies,Free
Billy Bates,Free
Kosta Nedeljkovic,€7.6M
Javier Manquillo,Free
Valentín Barco,€9.2M
Archie Woods,Free
Slobodan Tedic,Free
Mateo Mejía,Free
Kyle Edwards,Free
Caolan McBride,Free
Conor Coventry,€1.2M
Yunus Emre Konak,€4.5M
Radu Drăgușin,€25M
Gustavo Scarpa,€5M
Finn Azaz,€2.9M
Nahuel Ferraresi,€4.3M
Ethan Fitzhugh,Free
Adrian Mazilu,€3M
Jean-Pierre Tiéhi,Free
Evan Easton,Free
Marcelo Flores,€0.8M
Nicolas Pépé,Free
Christian Marques,Free
Demarai Gray,€9.3M
Moussa Djenepo,€3.5M
Andi Zeqiri,€2.8M
Declan Frith,Free
Eric Bailly,Free
Davinson Sánchez,€9.5M
Dylan Scicluna,Free
Anthony Knockaert,Free
Malik Mothersille,Free
Alex Gibson-Hammond,Free
Vicente Guaita,Free
Kalani Barton,Free
Tom Cannon,€8.8M
Jaden Philogene,€5.8M
Andrew Omobamidele,€12.9M
Nicolás Domínguez,€10M
Jean-Ricner Bellegarde,€15M
Ross Stewart,€9.3M
Alex Iwobi,€25.7M
Ibrahim Sangaré,€35M
Rob Holding,€1.2M
Brennan Johnson,€55M
Odysseas Vlachodimos,€4.9M
Ryan Gravenberch,€40M
Cole Palmer,€47M
Callum Hudson-Odoi,€3.5M
Altay Bayindir,€5M
Keinan Davis,€2.3M
Matheus Nunes,€62M
Mikki van Sas,Free
Brad Young,Free
Silko Thomas,Free
Jamal Baptiste,Free
Jayden Wareham,Free
Charlie Wellens,Free
Murillo,€12M
Han-Noah Massengo,Free
Santiago Bueno,€12M
Tiemoué Bakayoko,Free
Andy Irving,€1.8M
Dean Henderson,€17.5M
Toby Bull,Free
Steven Benda,€0.9M
Folarin Balogun,€30M
Beto,€25M
Carlos Baleba,€27M
Timothy Castagne,€13M
Roy Syla,Free
Dan Langley,Free
Cameron Archer,€21.6M
Nathan Tella,€23.3M
Mohammed Kudus,€43M
Steven Sessegnon,Free
Djordje Petrovic,€16M
Avan Jones,Free
Kane Draper,Free
Terell Pennant,Free
Mohamed Dräger,€0.4M
João Moutinho,Free
Ruben Shakpoke,Free
Noam Emeran,Free
Roshaun Mathurin,Free
David Omilabu,Free
Jérémy Doku,€60M
Aymeric Laporte,€27.5M
Matt Everitt,Free
Sam Bellis,Free
Rowan McDonald,Free
Aaron Ramsey,€16.5M
Hannes Delcroix,€3M
Konstantinos Mavropanos,€20M
Prince Adegoke,Free
Tyler Adams,€26.9M
Sergi Canós,€0.3M
Aleksandar Mitrović,€52.6M
David Boateng,Free
Joe Oliver,Free
Lewis Richards,€35K
Roméo Lavia,€62.1M
Wataru Endo,€20M
Arjan Raikhy,Free
Tom Davies,Free
Jake O'Brien,€1M
Matej Kovar,€5M
Billy Sharp,Free
Reece Hannam,Free
James Ward-Prowse,€34.8M
Moisés Caicedo,€116M
Armstrong Oko-Flex,Free
Alex Oxlade-Chamberlain,Free
Fred,€9.7M
Diego Costa,Free
Adama Traoré,Free
Wilson Odobert,€12M
Harry Kane,€95M
Gustavo Hamer,€17.3M
Matt Burgess,Free
Noel Atom,Free
Chermiti,€12.5M
Bryan Fiabema,Free
Todd Miller,Free
Max Aarons,€8.1M
Jacob Brown,€2.9M
Ivan Cavaleiro,Free
Edson Álvarez,€38M
Alex Scott,€23M
Fraser Alexander,Free
Ross Barkley,Free
Vini Souza,€12.5M
Matt Turner,€8.2M
Sander Berge,€13.9M
Joel Ideho,Free
Michal Karbownik,€2.5M
Nikola Vlašić,€10.6M
Micky van de Ven,€40M
Alejo Veliz,€15M
Tino Livramento,€37.2M
Zach Awe,Free
Luka Milivojevic,Free
Brooklyn Genesini,Free
Joe Lumley,Free
Ainsley Maitland-Niles,Free
Gianluca Scamacca,€25.6M
Henry Lawrence,Free
Robert Sánchez,€23M
Yerry Mina,Free
Ashley Phillips,€2.3M
Matheus França,€20M
Rasmus Højlund,€73.9M
Josko Gvardiol,€90M
Harvey Woods,Free
Casey Pettit,Free
Axel Disasi,€45M
Brooklyn Kabongolo,Free
Oludare Olufunwa,Free
Jack Hodnett,Free
Sam Bentley,Free
Carlos Forbs,€14M
Matija Sarkic,€1.4M
Auston Trusty,€5.8M
Thomas Kaminski,€2.9M
Sam McClelland,Free
Lee Harkin,Free
Aaron Connolly,€1.4M
Aaron Pressley,Free
Manuel Lanzini,Free
Lucas Moura,Free
Billy Fewster,Free
Lewis Ridd,Free
Freddie Bell,Free
Harrison Parker,€0.8M
Marqes Muir,Free
Braian Ojeda,€3.6M
Chris Francis,Free
Iliman Ndiaye,€17M
Luke Matheson,Free
Mohammed Salisu,€15M
Lesley Ugochukwu,€27M
Jack Colback,Free
Callum Nicolson,Free
Tom Smith,Free
Ackeme Francis-Burrell,Free
Di'Shon Bernard,Free
Fabinho,€46.7M
Stephy Mavididi,€7.5M
Conor Lawless,Free
Allan Saint-Maximin,€27.2M
Matthew Vigor,Free
Karl Darlow,€0.4M
Ryan Giles,€5.9M
Wesley Moraes,Free
Calvin Bassey,€22.5M
Riyad Mahrez,€35M
Fynn Talley,Free
Christos Kalogerakis,Free
Sami Tlemcani,Free
Jordan Henderson,€14M
Mohamed Elyounoussi,Free
Igor,€16.2M
Adedire Mebude,€1.8M
Matt Hall,Free
Sam Surridge,€5.8M
Raúl Jiménez,€6.4M
Luca Koleosho,€3M
Anthony Elanga,€17.5M
Taylor Perry,Free
Carlos Mendes,€0.3M
Wilfried Zaha,Free
Harvey Barnes,€44M
Alex Telles,€4.6M
Bobby Thomas,€2.3M
Moussa Diaby,€55M
Ola Aina,Free
Reda Khadra,€1.9M
Joe Pigott,Free
Laurence Shala,Free
Nathan Redmond,Free
Pierre-Emerick Aubameyang,Free
Daniel Amartey,Free
Harley Curtis,Free
Björn Hardley,Free
Matt Doherty,Free
James Trafford,€17.3M
André Onana,€50.2M
Marvelous Nakamba,€2.9M
Milos Kerkez,€17.9M
Zeki Amdouni,€18.6M
Ethan Ampadu,€8.1M
Benjamin Mendy,Free
Bénie Traoré,€4.6M
Jonny Evans,Free
Mads Hermansen,€7.7M
Asmir Begovic,Free
Mads Bidstrup,€6M
Thanawat Suengchitthawon,Free
Mipo Odubeko,Free
Matthew Healy,Free
Iwan Roberts,Free
Dion Sanderson,€2.3M
Halil Dervisoglu,€0.5M
Declan Rice,€116.6M
Jack Bearne,Free
Deji Sotona,Free
Yangel Herrera,€5M
Jurrien Timber,€40M
Tahith Chong,€4.7M
Nathan James,Free
Joel Valencia,Free
Ben Wilson,Free
Kane Vincent-Young,Free
Anis Slimane,€2.7M
George Hirst,€1.8M
Romain Faivre,€15M
Christian Pulisic,€20M
Ashley Young,Free
Jordan Smith,Free
Josh Swan,Free
Pau Torres,€33M
Shea Charles,€12.3M
Junior Dixon,Free
Ryan Manning,Free
Manor Solomon,Free
Abdul Rahman Baba,Free
Ishé Samuels-Smith,€4.7M
Ben Pearson,€1.5M
Neeskens Kebano,Free
Cafú,Free
Lorent Tolaj,Free
Charlie Wilson,Free
Ryan Bartley,Free
Morgan Rogers,€1.2M
Ellis Simms,€7M
Hayao Kawabe,€1.5M
Sonny Bradley,Free
Pontus Jansson,Free
Elijah Gift,€0.8M
Freddie Cook,Free
Josh McNamara,Free
César Azpilicueta,Free
Granit Xhaka,€15M
Ayoze Pérez,Free
Mason Mount,€64.2M
Çağlar Söyüncü,Free
Enda Stevens,Free
Derrick Abu,Free
Maliq Cadogan,Free
Alex Gilbert,Free
Roberto Firmino,Free
Nathan Collins,€26.9M
Richard Keogh,Free
Bart Verbruggen,€20M
Rico Richards,Free
Sandro Tonali,€64M
Lewis Gibson,Free
Theo Williams,Free
Dominik Szoboszlai,€70M
Teodor Minchev,Free
Manni Norkett,Free
Isaac Westendorf,Free
Ronny Nelson,Free
Tarik Gidaree,Free
Osa Solomon,Free
João Pedro,€34.2M
Mahmoud Dahoud,Free
James Milner,Free
Alexis Mac Allister,€42M
Haydon Roberts,Free
Jack Spong,Free
Teddy Jenks,Free
Antef Tsoungui,Free
Josh Lane,Free
Matheus Cunha,€50M
Nahuel Bustos,Free
Harry Wright,Free
Rekeem Harper,Free
Finlay Armstrong,Free
Harry Winks,€11.6M
Conor Coady,€8.7M
Diego Manuel Jadon da Silva Moreira,Free
Joe Bryan,Free
Ethan Laird,€0.9M
Nicolas Jackson,€37M
Ruben Loftus-Cheek,€18.5M
Ethan Galbraith,Free
Karl Daley,Free
Romaine Mundle,Free
Kai Havertz,€75M
James Maddison,€46.3M
Edouard Mendy,€18.5M
Mislav Orsic,€2.4M
Jack Turner,Free
Chiedozie Ogbene,Free
Guglielmo Vicario,€18.5M
Mateo Kovacic,€29.1M
Harry Isted,Free
Zidane Iqbal,€1M
Ethan Wady,Free
Dan Nlundulu,Free
İlkay Gündoğan,Free
Kalidou Koulibaly,€23M
Lewis Thomas,Free
Dara O'Shea,€7.8M
Justin Kluivert,€10.8M
Rúben Neves,€55M
Nathan Baxter,Free
Lukas Jensen,Free
N'Golo Kanté,Free
Christopher Nkunku,€60M
Will Tizzard,Free
Matt Smith,Free
Tom Bloxham,Free
Will Norris,Free
Charlie Hayes-Green,Free
Daniel Quick,Free
Harry Barclay,Free
Dejan Kulusevski,€30M
Ziyad Larkeche,Free
Will Brook,Free
Yankuba Minteh,€8M
Kevin Schade,€25M
Youri Tielemans,Free
Isaac Price,Free
Naby Keïta,Free
Shane Duffy,Free
Terrell Agyemang,Free
Michael Agboola,Free
Jack Scott,Free
Paulo Gazzaniga,Free
Jack Butland,Free
Jefferson Lerma,Free
Nicky Hogarth,Free
Roco Rees,Free
Dujon Sterling,Free
Josh Neufville,Free
Josh Williams,Free
Lachlan Brook,Free
Lewis Salmon,Free
Joseph Peter McFlynn,Free
Joel Coleman,Free
Niels Nkounkou,€2M
Jack Stacey,Free
Mark Flekken,€13M
Michael Obafemi,€4M
Ashley Barnes,Free
Chris Wood,€17M
Jordan Beyer,€15M
Alex Matos,Free
Hamed Junior Traoré,€25.6M
Pablo Marí,€6.2M
Arthur Masuaku,€2M
Jordan Zemura,Free
Sylvester Jasper,Free
Pedro Porro,€40M
Boubacar Traoré,€11M
Moise Kean,€30M
